503,CC,20180118,1,-1,1,1,-1,-1,1,0,0,-1,-1,-1
504,CT,20180118,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
505,KC,20180118,1,-1,-1,-1,1,-1,-1,-1,0,0,0,1
506,SB,20180118,1,-1,-1,-1,1,1,1,0,0,1,0,-1
507,VX,20180118,-1,1,1,1,-1,-1,1,0,0,0,0,-1
508,AD,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,0,1
509,BO,20180119,1,-1,-1,-1,1,1,-1,0,-1,1,1,1
510,BP,20180119,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
511,C,20180119,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
512,CD,20180119,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1
513,CL,20180119,1,-1,-1,1,-1,1,-1,-1,0,-1,0,-1
514,CU,20180119,1,-1,1,1,-1,-1,-1,-1,1,0,0,1
515,EMD,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
516,ES,20180119,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
517,FC,20180119,1,-1,1,1,-1,-1,1,-1,-1,1,1,1
518,FV,20180119,-1,1,-1,-1,1,1,1,0,0,1,1,1
519,GC,20180119,-1,1,1,1,-1,-1,-1,0,0,-1,-1,-1
520,HG,20180119,1,-1,-1,-1,1,1,-1,-1,0,0,0,1
521,HO,20180119,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1
522,JY,20180119,-1,1,1,1,-1,1,-1,-1,0,0,0,1
523,LC,20180119,1,-1,1,-1,-1,-1,-1,-1,1,0,0,-1
524,LH,20180119,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1
525,MP,20180119,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
526,NE,20180119,1,-1,1,1,-1,1,-1,0,0,-1,-1,1
527,NG,20180119,1,-1,1,1,-1,-1,1,0,0,0,0,-1
528,NIY,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
529,NQ,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
530,PA,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
531,PL,20180119,-1,1,1,1,-1,-1,-1,0,0,-1,-1,-1
532,RB,20180119,1,-1,1,1,-1,-1,-1,1,0,-1,0,-1
533,S,20180119,1,-1,1,1,-1,-1,-1,0,0,0,0,1
534,SF,20180119,1,-1,1,1,-1,-1,1,0,0,0,0,1
535,SI,20180119,-1,1,1,-1,1,-1,-1,0,0,0,0,-1
536,SM,20180119,1,-1,1,1,-1,-1,-1,-1,0,0,0,1
537,TU,20180119,-1,1,-1,-1,1,1,1,0,-1,1,1,1
538,TY,20180119,-1,1,-1,-1,1,1,1,0,0,0,1,1
539,US,20180119,-1,1,-1,-1,1,1,1,-1,0,1,0,1
540,W,20180119,1,-1,-1,-1,1,-1,1,0,-1,0,0,1
541,YM,20180119,1,-1,1,1,1,-1,-1,0,0,0,-1,1
542,CC,20180119,1,-1,1,1,-1,1,-1,-1,0,0,0,-1
543,CT,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
544,KC,20180119,1,-1,-1,-1,1,-1,-1,1,0,0,0,1
545,SB,20180119,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1
546,VX,20180119,-1,1,1,1,-1,-1,1,1,-1,0,1,-1
547,AD,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
548,BO,20180122,1,-1,-1,-1,1,1,1,0,0,1,1,1
549,BP,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
550,C,20180122,1,-1,1,1,-1,-1,1,1,-1,0,0,-1
551,CD,20180122,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1
