CSIsym,Date,Open,High,Low,Close,Volume,Open Interest,Contract,Seasonality,TR1,TR2,TR3,TR,Multiplier,Contract Value,ATR20,USD ATR,Target volatility,Account Size,QTY,% Change,Daily P&L,Risk On,Risk Off,Prev 1,Anti Prev 1,Prev 5,Low Eq,High Eq,Anti HE,Anti 50,Sea,Anti Sea
BO,20171115,34.31313808,35.0665003,34.31313808,35.03636581,52869,128608,201801,3.26,0.75336,0.75336,0.00000,0.75336,600,21022,,,500,5000,,0.021077283,,-1,1,1,-1,-1,1,1,-1,1,-1,1
BO,20171116,34.99618649,35.14685894,34.6948416,34.74506575,41280,131347,201801,3.25,0.45202,0.11049,0.34152,0.45202,600,20847,,,500,5000,,-0.00831422,,-1,1,-1,1,-1,0,0,0,1,-1,1
BO,20171117,34.81537956,34.95600717,34.46381052,34.74506575,41995,138175,201801,3.21,0.49220,0.21094,0.28126,0.49220,600,20847,,,500,5000,,0,,1,-1,0,0,-1,1,-1,1,0,-1,1
BO,20171120,34.66470711,34.71493126,34.00174836,34.2528691,54517,144727,201801,3.24,0.71318,0.03013,0.74332,0.74332,600,20552,,,500,5000,,-0.014165944,,1,-1,-1,1,-1,-1,-1,1,0,0,0
BO,20171121,34.26291393,34.66470711,34.21268978,34.47385535,43716,144024,201801,3.25,0.45202,0.41184,0.04018,0.45202,600,20684,,,500,5000,,0.006451613,,1,-1,1,-1,-1,1,0,0,0,-1,1
BO,20171122,34.44372086,34.7952899,34.2528691,34.35331739,61542,143324,201801,3.23,0.54242,0.32143,0.22099,0.54242,600,20612,,,500,5000,,-0.003496504,,1,-1,-1,1,1,-1,1,-1,1,-1,1
BO,20171124,34.37340705,34.37340705,33.9816587,34.23277944,70390,148961,201801,3.3,0.39175,0.02009,0.37166,0.39175,600,20540,,,500,5000,,-0.003508772,,-1,1,-1,1,-1,0,0,0,1,1,-1
BO,20171127,34.28300359,34.45376569,33.73053796,33.89125523,100723,155655,201801,3.3,0.72323,0.22099,0.50224,0.72323,600,20335,,,500,5000,,-0.009976526,,-1,1,-1,1,-1,0,1,-1,0,1,-1
BO,20171128,33.8812104,34.28300359,33.83098625,34.28300359,87582,163634,201801,3.33,0.45202,0.39175,0.06027,0.45202,600,20570,,,500,5000,,0.011558981,,-1,1,1,-1,-1,-1,0,0,0,1,-1
BO,20171129,34.18255529,34.3231829,33.93143455,34.22273461,73620,162914,201801,3.36,0.39175,0.04018,0.35157,0.39175,600,20534,,,500,5000,,-0.001757984,,-1,1,-1,1,1,0,1,-1,-1,1,-1
BO,20171130,34.22273461,34.83546922,33.79080693,34.00174836,92477,164811,201801,3.41,1.04466,0.61273,0.43193,1.04466,600,20401,0.55074,330.4466592,500,5000,1,-0.006457294,,-1,1,-1,1,-1,-1,0,0,-1,0,0
BO,20171201,34.07206216,34.20264495,33.75062762,33.84103108,47314,161338,201801,3.35,0.45202,0.20090,0.25112,0.45202,600,20305,0.54762,328.571439,500,5000,1,-0.004726736,-96.430368,-1,1,-1,1,-1,-1,1,-1,0,-1,1
BO,20171204,33.95152421,34.11224148,33.56982068,33.58991034,61230,160674,201801,3.34,0.54242,0.27121,0.27121,0.54242,600,20154,0.54498,326.9870301,500,5000,1,-0.0074206,-150.672444,1,-1,-1,1,-1,0,-1,1,0,0,0
BO,20171205,33.69035864,33.74058279,33.38901375,33.65017932,76339,153127,201801,3.38,0.35157,0.15067,0.20090,0.35157,600,20190,0.52573,315.4398066,500,5000,1,0.001794258,36.161388,1,-1,1,-1,-1,1,-1,1,1,0,0
BO,20171206,33.55977585,33.74058279,33.19816198,33.31869994,79936,150888,201801,3.34,0.54242,0.09040,0.45202,0.54242,600,19991,0.52713,316.2766908,500,5000,1,-0.009850746,-198.887628,-1,1,-1,1,-1,-1,-1,1,-1,-1,1
BO,20171207,33.3387896,33.53968619,32.94704124,33.47941721,84005,145986,201801,3.37,0.59264,0.22099,0.37166,0.59264,600,20088,0.53255,319.5282837,500,5000,1,0.004823636,96.430362,-1,1,1,-1,-1,1,1,-1,0,-1,1
BO,20171208,33.40910341,33.82094142,33.19816198,33.77071727,68624,132849,201801,3.28,0.62278,0.34152,0.28126,0.62278,600,20262,0.54401,326.4078657,500,5000,1,0.00870087,174.780036,1,-1,1,-1,-1,-1,-1,1,-1,0,0
