CSIsym,Date,Open,High,Low,Close,Volume,Open Interest,Contract,Seasonality,TR1,TR2,TR3,TR,Multiplier,Contract Value,ATR20,USD ATR,Target volatility,Account Size,QTY,% Change,Daily P&L,Risk On,Risk Off,Prev 1,Anti Prev 1,Prev 5,Low Eq,High Eq,Anti HE,Anti 50,Sea,Anti Sea
TU,20171208,107.15625,107.203125,107.125,107.171875,327225,1726324,201803,2.92,0.07813,0.05469,0.02344,0.07813,2000,214344,0.07143,142.851826,500,5000,3,0.000218739,140.625,1,-1,1,-1,-1,-1,0,0,1,1,-1
TU,20171211,107.171875,107.2109375,107.1171875,107.125,223476,1723266,201803,2.96,0.09375,0.03906,0.05469,0.09375,2000,214250,0.07299,145.986371,500,5000,3,-0.000437382,-281.25,1,-1,-1,1,-1,1,1,-1,-1,1,-1
TU,20171212,107.125,107.1328125,107.0703125,107.109375,354501,1730394,201803,2.81,0.06250,0.00781,0.05469,0.06250,2000,214219,0.07183,143.655745,500,5000,3,-0.000145858,-93.75,-1,1,-1,1,-1,1,-1,1,0,1,-1
TU,20171213,107.109375,107.2265625,107.0625,107.2109375,449342,1728744,201803,2.82,0.16406,0.11719,0.04688,0.16406,2000,214422,0.07808,156.16171,500,5000,3,0.000948213,609.375,-1,1,1,-1,-1,1,0,0,0,1,-1
TU,20171214,107.2265625,107.234375,107.125,107.1484375,430365,1740945,201803,2.7,0.10938,0.02344,0.08594,0.10938,2000,214297,0.08004,160.078698,500,5000,3,-0.000582963,-375,1,-1,-1,1,1,-1,0,0,-1,0,0
TU,20171215,107.1484375,107.1484375,107.0703125,107.1015625,267388,1749365,201803,2.74,0.07813,0.00000,0.07813,0.07813,2000,214203,0.08083,161.650742,500,5000,3,-0.000437477,-281.25,1,-1,-1,1,1,0,1,-1,-1,-1,1
TU,20171218,107.09375,107.125,107.0625,107.125,208891,1750459,201803,2.79,0.06250,0.02344,0.03906,0.06250,2000,214250,0.08200,164.000458,500,5000,3,0.000218834,140.625,-1,1,1,-1,-1,0,0,0,1,-1,1
TU,20171219,107.109375,107.1171875,107.0390625,107.0703125,270152,1752433,201803,2.7,0.07813,0.00781,0.08594,0.08594,2000,214141,0.08240,164.793639,500,5000,3,-0.000510502,-328.125,-1,1,-1,1,1,1,1,-1,1,-1,1
TU,20171220,107.0703125,107.0859375,107.03125,107.0546875,353063,1748898,201803,2.64,0.05469,0.01563,0.03906,0.05469,2000,214109,0.08201,164.021934,500,5000,3,-0.000145932,-93.75,-1,1,-1,1,-1,0,-1,1,-1,0,0
TU,20171221,107.0546875,107.0859375,107.0234375,107.0234375,178039,1755943,201803,2.62,0.06250,0.03125,0.03125,0.06250,2000,214047,0.07968,159.351137,500,5000,3,-0.000291907,-187.5,1,-1,-1,1,-1,0,0,0,-1,-1,1
TU,20171222,107.0234375,107.046875,106.9921875,107,132385,1767858,201803,2.66,0.05469,0.02344,0.03125,0.05469,2000,214000,0.08007,160.139546,500,5000,3,-0.000218994,-140.625,1,-1,-1,1,-1,1,-1,1,0,0,0
TU,20171226,106.9921875,107.0078125,106.96875,107,105836,1777247,201803,2.58,0.03906,0.00781,0.03125,0.03906,2000,214000,0.07968,159.365455,500,5000,3,0,0,-1,1,0,0,-1,1,-1,1,-1,0,0
TU,20171227,107,107.0546875,106.984375,107.0546875,181444,1779226,201803,2.57,0.07031,0.05469,0.01563,0.07031,2000,214109,0.08008,160.15625,500,5000,3,0.000511098,328.125,1,-1,1,-1,-1,0,1,-1,-1,1,-1
TU,20171228,107.046875,107.0546875,107.015625,107.0234375,120794,1780581,201803,2.63,0.03906,0.00000,0.03906,0.03906,2000,214047,0.07852,157.03125,500,5000,3,-0.000291907,-187.5,1,-1,-1,1,-1,-1,1,-1,1,1,-1
TU,20171229,107.0234375,107.0703125,107.0234375,107.0546875,152061,1781718,201803,2.59,0.04688,0.04688,0.00000,0.04688,2000,214109,0.07656,153.125,500,5000,3,0.000291992,187.5,-1,1,1,-1,-1,0,0,0,-1,-1,1
TU,20180102,107.046875,107.0546875,106.96875,106.984375,261259,1797752,201803,2.57,0.08594,0.00000,0.08594,0.08594,2000,213969,0.07305,146.09375,500,5000,3,-0.00065679,-421.875,-1,1,-1,1,1,0,0,0,-1,-1,1
TU,20180103,106.984375,107.0078125,106.953125,106.96875,296103,1816655,201803,2.63,0.05469,0.02344,0.03125,0.05469,2000,213938,0.07148,142.96875,500,5000,3,-0.000146049,-93.75,-1,1,-1,1,-1,0,0,0,1,0,0
TU,20180104,106.953125,106.9609375,106.875,106.9140625,427544,1829578,201803,2.76,0.08594,0.00781,0.09375,0.09375,2000,213828,0.07266,145.3125,500,5000,3,-0.000511247,-328.125,1,-1,-1,1,-1,-1,0,0,-1,-1,1
TU,20180105,106.921875,106.96875,106.890625,106.90625,367071,1832448,201803,2.81,0.07813,0.05469,0.02344,0.07813,2000,213813,0.07266,145.3125,500,5000,3,-7.30727E-05,-46.875,1,-1,-1,1,-1,-1,-1,1,1,1,-1
TU,20180108,106.8984375,106.9296875,106.890625,106.9140625,137297,1842719,201803,2.9,0.03906,0.02344,0.01563,0.03906,2000,213828,0.07266,145.3125,500,5000,3,7.3078E-05,46.875,1,-1,1,-1,-1,0,-1,1,-1,0,0
TU,20180109,106.90625,106.9453125,106.890625,106.9140625,440716,1851906,201803,2.99,0.05469,0.03125,0.02344,0.05469,2000,213828,0.07148,142.96875,500,5000,3,0,0,-1,1,0,0,-1,1,1,-1,0,-1,1
TU,20180110,106.8984375,106.921875,106.875,106.90625,430710,1848247,201803,3,0.04688,0.00781,0.03906,0.04688,2000,213813,0.06914,138.28125,500,5000,3,-7.30727E-05,-46.875,-1,1,-1,1,-1,0,1,-1,1,-1,1
TU,20180111,106.890625,106.921875,106.875,106.8984375,387944,1850111,201803,3.04,0.04688,0.01563,0.03125,0.04688,2000,213797,0.06836,136.71875,500,5000,3,-7.3078E-05,-46.875,-1,1,-1,1,-1,0,0,0,0,1,-1
TU,20180112,106.875,106.8828125,106.796875,106.84375,371260,1850111,201803,3.18,0.08594,0.01563,0.10156,0.10156,2000,213688,0.06523,130.46875,500,5000,3,-0.000511584,-328.125,1,-1,-1,1,-1,-1,-1,1,1,1,-1
